+-----+----------------------+-------------------+-----------------+-----+
| d   | G                    | ell               | field           | ind |
| 88  | {\rm PSL}_{2}(89)    | !89               | Not implemented | 1   |
| 88  | 2.{\rm PSL}_{2}(89)  | !89               | Not implemented | -1  |
| 89  | A_{90}               | !2, 3, 5          |                 | 1   |
| 89  | A_{91}               | 7, 13             |                 | 1   |
| 89  | {\rm PSL}_{2}(89)    | !2, 3, 5, 89      | Not implemented | 1   |
| 89  | {\rm PSL}_{2}(179)   | !179              | Not implemented | 0   |
| 90  | A_{91}               | !7, 13            |                 | 1   |
| 90  | A_{92}               | 2, 23             |                 | 1   |
| 90  | {\rm PSL}_{2}(89)    | !89               | Not implemented | 1   |
| 90  | 2.{\rm PSL}_{2}(89)  | !2, 89            | Not implemented | -1  |
| 90  | 2.{\rm PSL}_{2}(179) | !179, 2           | Not implemented | 0   |
| 90  | {\rm PSL}_{2}(181)   | 2                 | Not implemented | -1  |
| 90  | 2.{\rm PSL}_{2}(181) | !2, 181           | Not implemented | -1  |
| 91  | A_{92}               | !2, 23            |                 | 1   |
| 91  | A_{93}               | 3, 31             |                 | 1   |
| 91  | {\rm PSL}_{2}(181)   | !2, 181           | Not implemented | 1   |
| 92  | A_{93}               | !3, 31            |                 | 1   |
| 92  | A_{94}               | 2, 47             |                 | 1   |
| 93  | A_{94}               | !2, 47            |                 | 1   |
| 93  | A_{95}               | 5, 19             |                 | 1   |
| 94  | A_{95}               | !5, 19            |                 | 1   |
| 94  | A_{96}               | 2, 3              |                 | 1   |
| 95  | A_{96}               | !2, 3             |                 | 1   |
| 95  | A_{97}               | 97                |                 | 1   |
| 95  | {\rm PSL}_{2}(191)   | !191              | Not implemented | 0   |
| 96  | A_{97}               | !97               |                 | 1   |
| 96  | A_{98}               | 2, 7              |                 | 1   |
| 96  | {\rm PSL}_{2}(97)    | !97               | Not implemented | 1   |
| 96  | 2.{\rm PSL}_{2}(97)  | !7, 97            | Not implemented | -1  |
| 96  | 2.{\rm PSL}_{2}(191) | !191, 2           | Not implemented | 0   |
| 96  | {\rm PSL}_{2}(193)   | 2                 | Not implemented | -1  |
| 96  | 2.{\rm PSL}_{2}(193) | !2, 193           | Not implemented | -1  |
| 97  | A_{98}               | !2, 7             |                 | 1   |
| 97  | A_{99}               | 3, 11             |                 | 1   |
| 97  | {\rm PSL}_{2}(97)    | !2, 7, 97         | Not implemented | 1   |
| 97  | {\rm PSL}_{2}(193)   | !2, 193           | Not implemented | 1   |
| 98  | A_{99}               | !3, 11            |                 | 1   |
| 98  | A_{100}              | 2, 5              |                 | 1   |
| 98  | {\rm PSL}_{2}(97)    | !97               | Not implemented | 1   |
| 98  | 2.{\rm PSL}_{2}(97)  | !2, 97            | Not implemented | -1  |
| 98  | {\rm PSL}_{2}(197)   | 2                 | Not implemented | -1  |
| 98  | 2.{\rm PSL}_{2}(197) | !2, 197           | Not implemented | -1  |
| 99  | A_{100}              | !2, 5             |                 | 1   |
| 99  | A_{101}              | 101               |                 | 1   |
| 99  | {\rm PSL}_{2}(197)   | !2, 197           | Not implemented | 1   |
| 99  | {\rm PSL}_{2}(199)   | !199              | Not implemented | 0   |
| 100 | A_{101}              | !101              |                 | 1   |
| 100 | A_{102}              | 2, 3, 17          |                 | 1   |
| 100 | {\rm PSL}_{2}(101)   | !101              | Not implemented | 1   |
| 100 | 2.{\rm PSL}_{2}(101) | !101              | Not implemented | -1  |
| 100 | 2.{\rm PSL}_{2}(199) | !199, 2           | Not implemented | 0   |
| 101 | A_{102}              | !2, 3, 17         |                 | 1   |
| 101 | A_{103}              | 103               |                 | 1   |
| 101 | {\rm PSL}_{2}(101)   | !2, 3, 17, 101    | Not implemented | 1   |
| 102 | A_{103}              | !103              |                 | 1   |
| 102 | A_{104}              | 2, 13             |                 | 1   |
| 102 | {\rm PSL}_{2}(101)   | !5, 101           | Not implemented | 1   |
| 102 | 2.{\rm PSL}_{2}(101) | !2, 101           | Not implemented | -1  |
| 102 | {\rm PSL}_{2}(103)   | !103              | Not implemented | 1   |
| 102 | 2.{\rm PSL}_{2}(103) | !2, 103           | Not implemented | -1  |
| 103 | A_{104}              | !2, 13            |                 | 1   |
| 103 | A_{105}              | 3, 5, 7           |                 | 1   |
| 103 | {\rm PSL}_{2}(103)   | !2, 13, 103       | Not implemented | 1   |
| 104 | A_{105}              | !3, 5, 7          |                 | 1   |
| 104 | A_{106}              | 2, 53             |                 | 1   |
| 104 | {\rm PSL}_{2}(103)   | !103              | Not implemented | 1   |
| 104 | 2.{\rm PSL}_{2}(103) | !103, 2           | Not implemented | -1  |
| 105 | A_{106}              | !2, 53            |                 | 1   |
| 105 | A_{107}              | 107               |                 | 1   |
| 105 | {\rm PSL}_{2}(211)   | !211              | Not implemented | 0   |
| 106 | A_{107}              | !107              |                 | 1   |
| 106 | A_{108}              | 2, 3              |                 | 1   |
| 106 | {\rm PSL}_{2}(107)   | !107              | Not implemented | 1   |
| 106 | 2.{\rm PSL}_{2}(107) | !2, 107           | Not implemented | -1  |
| 106 | 2.{\rm PSL}_{2}(211) | !211, 2           | Not implemented | 0   |
| 107 | A_{108}              | !2, 3             |                 | 1   |
| 107 | A_{109}              | 109               |                 | 1   |
| 107 | {\rm PSL}_{2}(107)   | !2, 3, 107        | Not implemented | 1   |
| 108 | A_{109}              | !109              |                 | 1   |
| 108 | A_{110}              | 2, 5, 11          |                 | 1   |
| 108 | {\rm PSL}_{2}(107)   | !53, 107          | Not implemented | 1   |
| 108 | 2.{\rm PSL}_{2}(107) | !53, 107, 2       | Not implemented | -1  |
| 108 | {\rm PSL}_{2}(109)   | !109              | Not implemented | 1   |
| 108 | 2.{\rm PSL}_{2}(109) | !109              | Not implemented | -1  |
| 109 | A_{110}              | !2, 5, 11         |                 | 1   |
| 109 | A_{111}              | 3, 37             |                 | 1   |
| 109 | {\rm PSL}_{2}(109)   | !2, 5, 11, 109    | Not implemented | 1   |
| 110 | A_{111}              | !3, 37            |                 | 1   |
| 110 | A_{112}              | 2, 7              |                 | 1   |
| 110 | {\rm PSL}_{2}(109)   | !3, 109           | Not implemented | 1   |
| 110 | 2.{\rm PSL}_{2}(109) | !2, 109           | Not implemented | -1  |
| 111 | A_{112}              | !2, 7             |                 | 1   |
| 111 | A_{113}              | 113               |                 | 1   |
| 111 | {\rm PSL}_{2}(223)   | !223              | Not implemented | 0   |
| 112 | A_{113}              | !113              |                 | 1   |
| 112 | A_{114}              | 2, 3, 19          |                 | 1   |
| 112 | {\rm PSL}_{2}(113)   | !113              | Not implemented | 1   |
| 112 | 2.{\rm PSL}_{2}(113) | !113              | Not implemented | -1  |
| 112 | 2.{\rm PSL}_{2}(223) | !223, 2           | Not implemented | 0   |
| 113 | A_{114}              | !2, 3, 19         |                 | 1   |
| 113 | A_{115}              | 5, 23             |                 | 1   |
| 113 | {\rm PSL}_{2}(113)   | !2, 3, 19, 113    | Not implemented | 1   |
| 113 | {\rm PSL}_{2}(227)   | !227              | Not implemented | 0   |
| 114 | A_{115}              | !5, 23            |                 | 1   |
| 114 | A_{116}              | 2, 29             |                 | 1   |
| 114 | {\rm PSL}_{2}(113)   | !113              | Not implemented | 1   |
| 114 | 2.{\rm PSL}_{2}(113) | !2, 113           | Not implemented | -1  |
| 114 | 2.{\rm PSL}_{2}(227) | !227, 2           | Not implemented | 0   |
| 114 | {\rm PSL}_{2}(229)   | 2                 | Not implemented | -1  |
| 114 | 2.{\rm PSL}_{2}(229) | !2, 229           | Not implemented | -1  |
| 115 | A_{116}              | !2, 29            |                 | 1   |
| 115 | A_{117}              | 3, 13             |                 | 1   |
| 115 | {\rm PSL}_{2}(229)   | !2, 229           | Not implemented | 1   |
| 116 | A_{117}              | !3, 13            |                 | 1   |
| 116 | A_{118}              | 2, 59             |                 | 1   |
| 116 | {\rm PSL}_{2}(233)   | 2                 | Not implemented | -1  |
| 116 | 2.{\rm PSL}_{2}(233) | !2, 233           | Not implemented | -1  |
| 117 | A_{118}              | !2, 59            |                 | 1   |
| 117 | A_{119}              | 7, 17             |                 | 1   |
| 117 | {\rm PSL}_{2}(233)   | !2, 233           | Not implemented | 1   |
| 118 | A_{119}              | !7, 17            |                 | 1   |
| 118 | A_{120}              | 2, 3, 5           |                 | 1   |
| 119 | A_{120}              | !2, 3, 5          |                 | 1   |
| 119 | A_{121}              | 11                |                 | 1   |
| 119 | {\rm PSL}_{2}(239)   | !239              | Not implemented | 0   |
| 120 | A_{121}              | !11               |                 | 1   |
| 120 | A_{122}              | 2, 61             |                 | 1   |
| 120 | {\rm PSL}_{2}(121)   | !11               | Not implemented | 1   |
| 120 | 2.{\rm PSL}_{2}(121) | !61, 11           | Not implemented | -1  |
| 120 | 2.{\rm PSL}_{2}(239) | !239, 2           | Not implemented | 0   |
| 120 | {\rm PSL}_{2}(241)   | 2                 | Not implemented | -1  |
| 120 | 2.{\rm PSL}_{2}(241) | !2, 241           | Not implemented | -1  |
| 121 | A_{122}              | !2, 61            |                 | 1   |
| 121 | A_{123}              | 3, 41             |                 | 1   |
| 121 | {\rm PSL}_{2}(243)   | !3                | Not implemented | 0   |
| 121 | {\rm PSL}_{2}(121)   | !2, 61, 11        | Not implemented | 1   |
| 121 | {\rm PSL}_{2}(241)   | !2, 241           | Not implemented | 1   |
| 122 | A_{123}              | !3, 41            |                 | 1   |
| 122 | A_{124}              | 2, 31             |                 | 1   |
| 122 | 2.{\rm PSL}_{2}(243) | !3, 2             | Not implemented | 0   |
| 122 | {\rm PSL}_{2}(121)   | !11               | Not implemented | 1   |
| 122 | 2.{\rm PSL}_{2}(121) | !2, 11            | Not implemented | -1  |
| 123 | A_{124}              | !2, 31            |                 | 1   |
| 123 | A_{125}              | 5                 |                 | 1   |
| 124 | A_{125}              | !5                |                 | 1   |
| 124 | A_{126}              | 2, 3, 7           |                 | 1   |
| 124 | {\rm PSL}_{2}(125)   | !5                | Not implemented | 1   |
| 124 | 2.{\rm PSL}_{2}(125) | !5                | Not implemented | -1  |
| 125 | A_{126}              | !2, 3, 7          |                 | 1   |
| 125 | A_{127}              | 127               |                 | 1   |
| 125 | {\rm PSL}_{2}(125)   | !2, 3, 7, 5       | Not implemented | 1   |
| 125 | {\rm PSL}_{2}(251)   | !251              | Not implemented | 0   |
| 126 | A_{127}              | !127              |                 | 1   |
| 126 | A_{128}              | 2                 |                 | 1   |
| 126 | {\rm PSL}_{2}(125)   | !31, 5            | Not implemented | 1   |
| 126 | 2.{\rm PSL}_{2}(125) | !2, 5             | Not implemented | -1  |
| 126 | {\rm PSL}_{2}(127)   | !127              | Not implemented | 1   |
| 126 | 2.{\rm PSL}_{2}(127) | !2, 127           | Not implemented | -1  |
| 126 | 2.{\rm PSL}_{2}(251) | !251, 2           | Not implemented | 0   |
| 127 | A_{128}              | !2                |                 | 1   |
| 127 | A_{129}              | 3, 43             |                 | 1   |
| 127 | {\rm PSL}_{2}(128)   | !2                | Not implemented | 1   |
| 127 | {\rm PSL}_{2}(127)   | !2, 127           | Not implemented | 1   |
| 128 | A_{129}              | !3, 43            |                 | 1   |
| 128 | A_{130}              | 2, 5, 13          |                 | 1   |
| 128 | {\rm PSL}_{2}(128)   | !3, 43, 2         | Not implemented | 1   |
| 128 | {\rm PSL}_{2}(127)   | !127              | Not implemented | 1   |
| 128 | 2.{\rm PSL}_{2}(127) | !127, 2           | Not implemented | -1  |
| 128 | {\rm PSL}_{2}(257)   | 2                 | Not implemented | -1  |
| 128 | 2.{\rm PSL}_{2}(257) | !2, 257           | Not implemented | -1  |
| 129 | A_{130}              | !2, 5, 13         |                 | 1   |
| 129 | A_{131}              | 131               |                 | 1   |
| 129 | {\rm PSL}_{2}(128)   | !127, 2           | Not implemented | 1   |
| 129 | {\rm PSL}_{2}(257)   | !2, 257           | Not implemented | 1   |
| 130 | A_{131}              | !131              |                 | 1   |
| 130 | A_{132}              | 2, 3, 11          |                 | 1   |
| 130 | {\rm PSL}_{2}(131)   | !131              | Not implemented | 1   |
| 130 | 2.{\rm PSL}_{2}(131) | !2, 131           | Not implemented | -1  |
| 131 | A_{132}              | !2, 3, 11         |                 | 1   |
| 131 | A_{133}              | 7, 19             |                 | 1   |
| 131 | {\rm PSL}_{2}(131)   | !2, 3, 11, 131    | Not implemented | 1   |
| 131 | {\rm PSL}_{2}(263)   | !263              | Not implemented | 0   |
| 132 | A_{133}              | !7, 19            |                 | 1   |
| 132 | A_{134}              | 2, 67             |                 | 1   |
| 132 | {\rm PSL}_{2}(131)   | !131              | Not implemented | 1   |
| 132 | 2.{\rm PSL}_{2}(131) | !131, 2           | Not implemented | -1  |
| 132 | 2.{\rm PSL}_{2}(263) | !263, 2           | Not implemented | 0   |
| 133 | A_{134}              | !2, 67            |                 | 1   |
| 133 | A_{135}              | 3, 5              |                 | 1   |
| 134 | A_{135}              | !3, 5             |                 | 1   |
| 134 | A_{136}              | 2, 17             |                 | 1   |
| 134 | {\rm PSL}_{2}(269)   | 2                 | Not implemented | -1  |
| 134 | 2.{\rm PSL}_{2}(269) | !2, 269           | Not implemented | -1  |
| 135 | A_{136}              | !2, 17            |                 | 1   |
| 135 | A_{137}              | 137               |                 | 1   |
| 135 | {\rm PSL}_{2}(269)   | !2, 269           | Not implemented | 1   |
| 135 | {\rm PSL}_{2}(271)   | !271              | Not implemented | 0   |
| 136 | A_{137}              | !137              |                 | 1   |
| 136 | A_{138}              | 2, 3, 23          |                 | 1   |
| 136 | {\rm PSL}_{2}(137)   | !137              | Not implemented | 1   |
| 136 | 2.{\rm PSL}_{2}(137) | !137              | Not implemented | -1  |
| 136 | 2.{\rm PSL}_{2}(271) | !271, 2           | Not implemented | 0   |
| 137 | A_{138}              | !2, 3, 23         |                 | 1   |
| 137 | A_{139}              | 139               |                 | 1   |
| 137 | {\rm PSL}_{2}(137)   | !2, 3, 23, 137    | Not implemented | 1   |
| 138 | A_{139}              | !139              |                 | 1   |
| 138 | A_{140}              | 2, 5, 7           |                 | 1   |
| 138 | {\rm PSL}_{2}(137)   | !137              | Not implemented | 1   |
| 138 | 2.{\rm PSL}_{2}(137) | !2, 137           | Not implemented | -1  |
| 138 | {\rm PSL}_{2}(139)   | !139              | Not implemented | 1   |
| 138 | 2.{\rm PSL}_{2}(139) | !2, 139           | Not implemented | -1  |
| 138 | {\rm PSL}_{2}(277)   | 2                 | Not implemented | -1  |
| 138 | 2.{\rm PSL}_{2}(277) | !2, 277           | Not implemented | -1  |
| 139 | A_{140}              | !2, 5, 7          |                 | 1   |
| 139 | A_{141}              | 3, 47             |                 | 1   |
| 139 | {\rm PSL}_{2}(139)   | !2, 5, 7, 139     | Not implemented | 1   |
| 139 | {\rm PSL}_{2}(277)   | !2, 277           | Not implemented | 1   |
| 140 | A_{141}              | !3, 47            |                 | 1   |
| 140 | A_{142}              | 2, 71             |                 | 1   |
| 140 | {\rm PSL}_{2}(139)   | !139              | Not implemented | 1   |
| 140 | 2.{\rm PSL}_{2}(139) | !139, 2           | Not implemented | -1  |
| 140 | {\rm PSL}_{2}(281)   | 2                 | Not implemented | -1  |
| 140 | 2.{\rm PSL}_{2}(281) | !2, 281           | Not implemented | -1  |
| 141 | A_{142}              | !2, 71            |                 | 1   |
| 141 | A_{143}              | 11, 13            |                 | 1   |
| 141 | {\rm PSL}_{2}(281)   | !2, 281           | Not implemented | 1   |
| 141 | {\rm PSL}_{2}(283)   | !283              | Not implemented | 0   |
| 142 | A_{143}              | !11, 13           |                 | 1   |
| 142 | A_{144}              | 2, 3              |                 | 1   |
| 142 | 2.{\rm PSL}_{2}(283) | !283, 2           | Not implemented | 0   |
| 143 | A_{144}              | !2, 3             |                 | 1   |
| 143 | A_{145}              | 5, 29             |                 | 1   |
| 144 | A_{145}              | !5, 29            |                 | 1   |
| 144 | A_{146}              | 2, 73             |                 | 1   |
| 144 | {\rm PSL}_{2}(289)   | 2                 | Not implemented | -1  |
| 144 | 2.{\rm PSL}_{2}(289) | !2, 17            | Not implemented | -1  |
| 145 | A_{146}              | !2, 73            |                 | 1   |
| 145 | A_{147}              | 3, 7              |                 | 1   |
| 145 | {\rm PSL}_{2}(289)   | !2, 17            | Not implemented | 1   |
| 146 | A_{147}              | !3, 7             |                 | 1   |
| 146 | A_{148}              | 2, 37             |                 | 1   |
| 146 | {\rm PSL}_{2}(293)   | 2                 | Not implemented | -1  |
| 146 | 2.{\rm PSL}_{2}(293) | !2, 293           | Not implemented | -1  |
| 147 | A_{148}              | !2, 37            |                 | 1   |
| 147 | A_{149}              | 149               |                 | 1   |
| 147 | {\rm PSL}_{2}(293)   | !2, 293           | Not implemented | 1   |
| 148 | A_{149}              | !149              |                 | 1   |
| 148 | A_{150}              | 2, 3, 5           |                 | 1   |
| 148 | {\rm PSL}_{2}(149)   | !149              | Not implemented | 1   |
| 148 | 2.{\rm PSL}_{2}(149) | !149              | Not implemented | -1  |
| 149 | A_{150}              | !2, 3, 5          |                 | 1   |
| 149 | A_{151}              | 151               |                 | 1   |
| 149 | {\rm PSL}_{2}(149)   | !2, 3, 5, 149     | Not implemented | 1   |
| 150 | A_{151}              | !151              |                 | 1   |
| 150 | A_{152}              | 2, 19             |                 | 1   |
| 150 | {\rm PSL}_{2}(149)   | !37, 149          | Not implemented | 1   |
| 150 | 2.{\rm PSL}_{2}(149) | !2, 149           | Not implemented | -1  |
| 150 | {\rm PSL}_{2}(151)   | !151              | Not implemented | 1   |
| 150 | 2.{\rm PSL}_{2}(151) | !2, 151           | Not implemented | -1  |
| 151 | A_{152}              | !2, 19            |                 | 1   |
| 151 | A_{153}              | 3, 17             |                 | 1   |
| 151 | {\rm PSL}_{2}(151)   | !2, 19, 151       | Not implemented | 1   |
| 152 | A_{153}              | !3, 17            |                 | 1   |
| 152 | A_{154}              | 2, 7, 11          |                 | 1   |
| 152 | {\rm PSL}_{2}(151)   | !151              | Not implemented | 1   |
| 152 | 2.{\rm PSL}_{2}(151) | !151, 2           | Not implemented | -1  |
| 153 | A_{154}              | !2, 7, 11         |                 | 1   |
| 153 | A_{155}              | 5, 31             |                 | 1   |
| 153 | {\rm PSL}_{2}(307)   | !307              | Not implemented | 0   |
| 154 | A_{155}              | !5, 31            |                 | 1   |
| 154 | A_{156}              | 2, 3, 13          |                 | 1   |
| 154 | 2.{\rm PSL}_{2}(307) | !307, 2           | Not implemented | 0   |
| 155 | A_{156}              | !2, 3, 13         |                 | 1   |
| 155 | A_{157}              | 157               |                 | 1   |
| 155 | {\rm PSL}_{2}(311)   | !311              | Not implemented | 0   |
| 156 | A_{157}              | !157              |                 | 1   |
| 156 | A_{158}              | 2, 79             |                 | 1   |
| 156 | {\rm PSL}_{2}(157)   | !157              | Not implemented | 1   |
| 156 | 2.{\rm PSL}_{2}(157) | !79, 157          | Not implemented | -1  |
| 156 | 2.{\rm PSL}_{2}(311) | !311, 2           | Not implemented | 0   |
| 156 | {\rm PSL}_{2}(313)   | 2                 | Not implemented | -1  |
| 156 | 2.{\rm PSL}_{2}(313) | !2, 313           | Not implemented | -1  |
| 157 | A_{158}              | !2, 79            |                 | 1   |
| 157 | A_{159}              | 3, 53             |                 | 1   |
| 157 | {\rm PSL}_{2}(157)   | !2, 79, 157       | Not implemented | 1   |
| 157 | {\rm PSL}_{2}(313)   | !2, 313           | Not implemented | 1   |
| 158 | A_{159}              | !3, 53            |                 | 1   |
| 158 | A_{160}              | 2, 5              |                 | 1   |
| 158 | {\rm PSL}_{2}(157)   | !157              | Not implemented | 1   |
| 158 | 2.{\rm PSL}_{2}(157) | !2, 157           | Not implemented | -1  |
| 158 | {\rm PSL}_{2}(317)   | 2                 | Not implemented | -1  |
| 158 | 2.{\rm PSL}_{2}(317) | !2, 317           | Not implemented | -1  |
| 159 | A_{160}              | !2, 5             |                 | 1   |
| 159 | A_{161}              | 7, 23             |                 | 1   |
| 159 | {\rm PSL}_{2}(317)   | !2, 317           | Not implemented | 1   |
| 160 | A_{161}              | !7, 23            |                 | 1   |
| 160 | A_{162}              | 2, 3              |                 | 1   |
| 161 | A_{162}              | !2, 3             |                 | 1   |
| 161 | A_{163}              | 163               |                 | 1   |
| 162 | A_{163}              | !163              |                 | 1   |
| 162 | A_{164}              | 2, 41             |                 | 1   |
| 162 | {\rm PSL}_{2}(163)   | !163              | Not implemented | 1   |
| 162 | 2.{\rm PSL}_{2}(163) | !2, 163           | Not implemented | -1  |
| 163 | A_{164}              | !2, 41            |                 | 1   |
| 163 | A_{165}              | 3, 5, 11          |                 | 1   |
| 163 | {\rm PSL}_{2}(163)   | !2, 41, 163       | Not implemented | 1   |
| 164 | A_{165}              | !3, 5, 11         |                 | 1   |
| 164 | A_{166}              | 2, 83             |                 | 1   |
| 164 | {\rm PSL}_{2}(163)   | !3, 163           | Not implemented | 1   |
| 164 | 2.{\rm PSL}_{2}(163) | !3, 163, 2        | Not implemented | -1  |
| 165 | A_{166}              | !2, 83            |                 | 1   |
| 165 | A_{167}              | 167               |                 | 1   |
| 165 | {\rm PSL}_{2}(331)   | !331              | Not implemented | 0   |
| 166 | A_{167}              | !167              |                 | 1   |
| 166 | A_{168}              | 2, 3, 7           |                 | 1   |
| 166 | {\rm PSL}_{2}(167)   | !167              | Not implemented | 1   |
| 166 | 2.{\rm PSL}_{2}(167) | !2, 167           | Not implemented | -1  |
| 166 | 2.{\rm PSL}_{2}(331) | !331, 2           | Not implemented | 0   |
| 167 | A_{168}              | !2, 3, 7          |                 | 1   |
| 167 | A_{169}              | 13                |                 | 1   |
| 167 | {\rm PSL}_{2}(167)   | !2, 3, 7, 167     | Not implemented | 1   |
| 168 | A_{169}              | !13               |                 | 1   |
| 168 | A_{170}              | 2, 5, 17          |                 | 1   |
| 168 | {\rm PSL}_{2}(169)   | !13               | Not implemented | 1   |
| 168 | 2.{\rm PSL}_{2}(169) | !13               | Not implemented | -1  |
| 168 | {\rm PSL}_{2}(167)   | !83, 167          | Not implemented | 1   |
| 168 | 2.{\rm PSL}_{2}(167) | !83, 167, 2       | Not implemented | -1  |
| 168 | {\rm PSL}_{2}(337)   | 2                 | Not implemented | -1  |
| 168 | 2.{\rm PSL}_{2}(337) | !2, 337           | Not implemented | -1  |
| 169 | A_{170}              | !2, 5, 17         |                 | 1   |
| 169 | A_{171}              | 3, 19             |                 | 1   |
| 169 | {\rm PSL}_{2}(169)   | !2, 5, 17, 13     | Not implemented | 1   |
| 169 | {\rm PSL}_{2}(337)   | !2, 337           | Not implemented | 1   |
| 170 | A_{171}              | !3, 19            |                 | 1   |
| 170 | A_{172}              | 2, 43             |                 | 1   |
| 170 | {\rm PSL}_{2}(169)   | !13               | Not implemented | 1   |
| 170 | 2.{\rm PSL}_{2}(169) | !2, 13            | Not implemented | -1  |
| 171 | A_{172}              | !2, 43            |                 | 1   |
| 171 | A_{173}              | 173               |                 | 1   |
| 171 | {\rm PSL}_{2}(343)   | !7                | Not implemented | 0   |
| 172 | A_{173}              | !173              |                 | 1   |
| 172 | A_{174}              | 2, 3, 29          |                 | 1   |
| 172 | 2.{\rm PSL}_{2}(343) | !7, 2             | Not implemented | 0   |
| 172 | {\rm PSL}_{2}(173)   | !173              | Not implemented | 1   |
| 172 | 2.{\rm PSL}_{2}(173) | !173              | Not implemented | -1  |
| 173 | A_{174}              | !2, 3, 29         |                 | 1   |
| 173 | A_{175}              | 5, 7              |                 | 1   |
| 173 | {\rm PSL}_{2}(173)   | !2, 3, 29, 173    | Not implemented | 1   |
| 173 | {\rm PSL}_{2}(347)   | !347              | Not implemented | 0   |
| 174 | A_{175}              | !5, 7             |                 | 1   |
| 174 | A_{176}              | 2, 11             |                 | 1   |
| 174 | {\rm PSL}_{2}(173)   | !43, 173          | Not implemented | 1   |
| 174 | 2.{\rm PSL}_{2}(173) | !2, 173           | Not implemented | -1  |
| 174 | 2.{\rm PSL}_{2}(347) | !347, 2           | Not implemented | 0   |
| 174 | {\rm PSL}_{2}(349)   | 2                 | Not implemented | -1  |
| 174 | 2.{\rm PSL}_{2}(349) | !2, 349           | Not implemented | -1  |
| 175 | A_{176}              | !2, 11            |                 | 1   |
| 175 | A_{177}              | 3, 59             |                 | 1   |
| 175 | {\rm PSL}_{2}(349)   | !2, 349           | Not implemented | 1   |
| 176 | A_{177}              | !3, 59            |                 | 1   |
| 176 | A_{178}              | 2, 89             |                 | 1   |
| 176 | {\rm PSL}_{2}(353)   | 2                 | Not implemented | -1  |
| 176 | 2.{\rm PSL}_{2}(353) | !2, 353           | Not implemented | -1  |
| 177 | A_{178}              | !2, 89            |                 | 1   |
| 177 | A_{179}              | 179               |                 | 1   |
| 177 | {\rm PSL}_{2}(353)   | !2, 353           | Not implemented | 1   |
| 178 | A_{179}              | !179              |                 | 1   |
| 178 | A_{180}              | 2, 3, 5           |                 | 1   |
| 178 | {\rm PSL}_{2}(179)   | !179              | Not implemented | 1   |
| 178 | 2.{\rm PSL}_{2}(179) | !2, 179           | Not implemented | -1  |
| 179 | A_{180}              | !2, 3, 5          |                 | 1   |
| 179 | A_{181}              | 181               |                 | 1   |
| 179 | {\rm PSL}_{2}(179)   | !2, 3, 5, 179     | Not implemented | 1   |
| 179 | {\rm PSL}_{2}(359)   | !359              | Not implemented | 0   |
| 180 | A_{181}              | !181              |                 | 1   |
| 180 | A_{182}              | 2, 7, 13          |                 | 1   |
| 180 | {\rm PSL}_{2}(361)   | 2                 | Not implemented | -1  |
| 180 | 2.{\rm PSL}_{2}(361) | !2, 19            | Not implemented | -1  |
| 180 | {\rm PSL}_{2}(179)   | !89, 179          | Not implemented | 1   |
| 180 | 2.{\rm PSL}_{2}(179) | !89, 179, 2       | Not implemented | -1  |
| 180 | {\rm PSL}_{2}(181)   | !181              | Not implemented | 1   |
| 180 | 2.{\rm PSL}_{2}(181) | !181              | Not implemented | -1  |
| 180 | 2.{\rm PSL}_{2}(359) | !359, 2           | Not implemented | 0   |
| 181 | A_{182}              | !2, 7, 13         |                 | 1   |
| 181 | A_{183}              | 3, 61             |                 | 1   |
| 181 | {\rm PSL}_{2}(361)   | !2, 19            | Not implemented | 1   |
| 181 | {\rm PSL}_{2}(181)   | !2, 7, 13, 181    | Not implemented | 1   |
| 182 | A_{183}              | !3, 61            |                 | 1   |
| 182 | A_{184}              | 2, 23             |                 | 1   |
| 182 | {\rm PSL}_{2}(181)   | !181              | Not implemented | 1   |
| 182 | 2.{\rm PSL}_{2}(181) | !2, 181           | Not implemented | -1  |
| 183 | A_{184}              | !2, 23            |                 | 1   |
| 183 | A_{185}              | 5, 37             |                 | 1   |
| 183 | {\rm PSL}_{2}(367)   | !367              | Not implemented | 0   |
| 184 | A_{185}              | !5, 37            |                 | 1   |
| 184 | A_{186}              | 2, 3, 31          |                 | 1   |
| 184 | 2.{\rm PSL}_{2}(367) | !367, 2           | Not implemented | 0   |
| 185 | A_{186}              | !2, 3, 31         |                 | 1   |
| 185 | A_{187}              | 11, 17            |                 | 1   |
| 186 | A_{187}              | !11, 17           |                 | 1   |
| 186 | A_{188}              | 2, 47             |                 | 1   |
| 186 | {\rm PSL}_{2}(373)   | 2                 | Not implemented | -1  |
| 186 | 2.{\rm PSL}_{2}(373) | !2, 373           | Not implemented | -1  |
| 187 | A_{188}              | !2, 47            |                 | 1   |
| 187 | A_{189}              | 3, 7              |                 | 1   |
| 187 | {\rm PSL}_{2}(373)   | !2, 373           | Not implemented | 1   |
| 188 | A_{189}              | !3, 7             |                 | 1   |
| 188 | A_{190}              | 2, 5, 19          |                 | 1   |
| 189 | A_{190}              | !2, 5, 19         |                 | 1   |
| 189 | A_{191}              | 191               |                 | 1   |
| 189 | {\rm PSL}_{2}(379)   | !379              | Not implemented | 0   |
| 190 | A_{191}              | !191              |                 | 1   |
| 190 | A_{192}              | 2, 3              |                 | 1   |
| 190 | {\rm PSL}_{2}(191)   | !191              | Not implemented | 1   |
